date,symbol,currassets,totassets,cogs,longtdebt,depamort,ebit,ebitda,currliab,totliab,netincome,rev,tax,roe,tat,de,pm
20130630,DEWY,3.125,4.069,6.507,0.002,0.064,0.121,0.185,0.848,1.565,0.1,8.257,0,0.0399361022,2.0292455149,0.625,0.0121109362
20130331,AOI,1464.755,1911.579,1932.631,830.87,34.421,139.496,173.917,620.952,1569.548,24.013,2243.816,27.992,0.0702070865,1.1738023906,4.588905684,0.0107018579
20130131,DDS,1491.98,4048.744,4247.108,822.309,259.621,497.976,757.597,767.116,2078.569,335.962,6711.069,145.06,0.1705239382,1.6575681248,1.0550174477,0.050060877
20130930,DIS,14109,81241,33399,13050,2192,9450,11642,11704,33091,6136,45041,2984,0.1274350987,0.554412181,0.6872481828,0.1362314336
20130131,DG,2677.113,10367.682,10642.627,2771.336,294.1,1658.176,1952.276,1738.547,5382.352,952.662,16022.128,544.732,0.1910930671,1.545391535,1.0796380581,0.059459143
20130731,DCI,1055.662,1743.556,1523.931,102.774,64.29,355.429,419.719,476.435,658.369,247.377,2445.048,100.804,0.2279579464,1.4023340805,0.6066871424,0.1011747009
20130731,ASNA,942.8,2871.7,2046.9,135,161.8,334,495.8,652.6,1315.3,151.3,4714.9,87.4,0.0972115137,1.6418497754,0.8450912362,0.032089758
20130131,ALCS,190.434,243.875,343.232,79.382,8.847,5.77,14.617,56.815,141.712,1.307,492.595,0.565,0.0127932813,2.019866735,1.3871166665,0.0026532953
20130731,DY,541.134,1154.208,1299.921,444.169,85.481,87.602,173.083,199.815,725.847,35.188,1608.612,23.011,0.0821456669,1.3936933378,1.6944749872,0.0218747591
20130630,DYNT,10.879,15.105,17.972,1.562,0.48,0.105,0.585,7.334,8.896,-0.044,29.538,-0.087,-0.007086487,1.9555114201,1.4327588984,-0.001489607
20130228,EDUC,14.662,17.901,10.38,0,0.114,1.228,1.342,4.449,4.449,0.803,25.487,0.479,0.0596937258,1.4237752081,0.3307314897,0.0315062581
20130331,ESIO,246.49,322.208,118,0,11.637,-3.822,7.815,52.084,58.066,-54.716,216.625,39.851,-0.207146156,0.6723141573,0.2198287285,-0.252583958
20130930,EMR,10999,24711,14118,4055,819,4084,4903,7625,13993,2004,24669,1130,0.1869751819,0.9983003521,1.3055607389,0.0812355588
20130331,MSN,82.582,84.284,109.88,0.03,0.106,10.651,10.757,10.079,10.303,5.999,128.396,3.666,0.0810883876,1.5233733567,0.1392654871,0.0467226393
20130630,ELX,239.313,710.709,154.759,0,45.935,18.564,64.499,71.586,123.084,-5.214,478.567,-0.369,-0.008873006,0.673365611,0.2094601149,-0.010895026
20130930,ATO,683.266,7940.401,3149.299,2455.671,235.079,501.879,736.958,978.486,5359.992,243.194,3886.257,142.599,0.0942462997,0.4894283047,2.0771869886,0.062577951
20130228,EBF,193.416,495.292,396.119,57.5,13.235,40.395,53.63,43.039,134.076,24.715,533.506,13.903,0.0684216646,1.0771544866,0.3711795712,0.0463256271
20130228,ETCC,42.871,60.568,36.061,18.585,1.843,9.944,11.787,17.736,36.349,4.948,62.773,3.859,0.2043024072,1.0364053626,1.5008464429,0.0788236981
20130731,ENZ,32.556,58.958,50.378,0.774,4.457,-18.98,-14.523,23.852,24.826,-18.237,93.707,-0.712,-0.534307981,1.5893856644,0.727352631,-0.194617264
20130630,ESP,33.094,35.541,23.181,0,0.418,7.782,8.2,3.503,3.698,5.562,34.298,2.304,0.1746694721,0.9650263076,0.116132274,0.1621668902
20130331,EXAR,243.9,293.168,55.088,1.342,10.95,2.455,13.405,40.168,52.714,2.882,122.026,-1.189,0.0119856605,0.416232331,0.2192269623,0.0236179175
20130930,IIIN,121.206,212.649,314.83,0,9.833,18.551,28.384,37.415,51.593,11.735,363.896,6.262,0.0728628552,1.7112518752,0.3203419928,0.0322482248
20130831,FDO,1857.005,3709.861,6841.665,500.275,238.9,683.004,921.904,1080.222,2110.806,443.575,10391.457,247.122,0.2773982133,2.8010367504,1.3200333947,0.0426865068
20130630,FARM,139.749,244.136,286.283,18.759,32.542,-3.969,28.573,76.55,162.298,-8.462,509.964,-0.825,-0.103399399,2.0888521152,1.9831618564,-0.016593328
20130531,FDX,11274,33567,33018,2739,2386,3211,5597,5750,16169,1561,44287,894,0.0897229567,1.3193612774,0.9293596965,0.0352473638
